page,brand,model,category,size,storage,color,price,source,condition,date,article_number,n_of_reviews,rating,delivery_time
1,apple,iphone 15,Smartphone,6.1,128,black,716.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203371.html,new,2024-04-07,2203371.0,25,4.8,2.0
1,apple,iphone 15 pro max,Smartphone,6.7,256,black,1129.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203426.html,new,2024-04-07,2203426.0,13,4.9,2.0
1,apple,iphone 14,Smartphone,6.1,128,unknown,619.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151025.html,new,2024-04-07,2151025.0,12,4.8,2.0
1,apple,iphone 15 pro,Smartphone,6.1,256,black,1040.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203408.html,new,2024-04-07,2203408.0,14,4.9,2.0
1,apple,iphone 15 pro max,Smartphone,6.7,256,titanium,1125.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203429.html,new,2024-04-07,2203429.0,32,4.6,2.0
1,apple,iphone 15,Smartphone,6.1,128,blue,728.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203374.html,new,2024-04-07,2203374.0,8,5.0,2.0
1,apple,iphone 11 (2020),Smartphone,6.1,64,black,349.0,https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028715.html,new,2024-04-07,2028715.0,67,4.7,4.0
1,apple,iphone 14,Smartphone,6.1,128,purple,619.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151027.html,new,2024-04-07,2151027.0,12,4.8,2.0
1,apple,iphone 15,Smartphone,6.1,256,black,816.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203376.html,new,2024-04-07,2203376.0,4,5.0,2.0
1,xiaomi,redmi a2,Smartphone,6.52,32,schwarz,84.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-a2-2178004.html,new,2024-04-07,2178004.0,10,4.1,2.0
1,apple,iphone 13,Smartphone,6.1,128,unknown,529.0,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091429.html,new,2024-04-07,2091429.0,34,4.7,6.0
1,xiaomi,redmi 13c,Smartphone,6.74,128,black,118.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-13c-2219843.html,new,2024-04-07,2219843.0,3,4.7,2.0
1,apple,iphone 15,Smartphone,6.1,128,yellow,711.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203373.html,new,2024-04-07,2203373.0,0,0.0,
1,apple,iphone 11 (2020),Smartphone,6.1,128,black,399.0,https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028727.html,new,2024-04-07,2028727.0,50,4.5,4.0
1,apple,iphone 15 pro,Smartphone,6.1,256,white,1031.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203409.html,new,2024-04-07,2203409.0,1,5.0,2.0
1,apple,iphone 15 pro,Smartphone,6.1,256,blue,1047.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203411.html,new,2024-04-07,2203411.0,11,4.8,2.0
1,apple,iphone 14,Smartphone,6.1,128,unknown,619.0,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151026.html,new,2024-04-07,2151026.0,24,4.9,2.0
1,samsung,galaxy a15 4g,Smartphone,6.5,128,blue,179.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a15-4g-2221377.html,new,2024-04-07,2221377.0,0,0.0,4.0
1,apple,iphone 15 pro,Smartphone,6.1,128,titanium,939.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203405.html,new,2024-04-07,2203405.0,11,4.3,2.0
1,apple,iphone 15 pro max,Smartphone,6.7,256,white,1137.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203427.html,new,2024-04-07,2203427.0,9,4.8,2.0
1,apple,iphone se,Smartphone,4.7,128,unknown,430.0,https://www.mediamarkt.ch/de/product/_apple-iphone-se-2118902.html,new,2024-04-07,2118902.0,9,4.4,4.0
1,apple,iphone 15 pro,Smartphone,6.1,256,titanium,1047.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203410.html,new,2024-04-07,2203410.0,17,4.0,2.0
1,apple,iphone 15,Smartphone,6.1,256,blue,829.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203380.html,new,2024-04-07,2203380.0,1,5.0,2.0
1,apple,iphone 15,Smartphone,6.1,256,yellow,816.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203379.html,new,2024-04-07,2203379.0,0,0.0,2.0
2,samsung,galaxy a15 4g,Smartphone,6.5,128,black,169.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a15-4g-2221378.html,new,2024-04-07,2221378.0,0,0.0,4.0
2,apple,iphone 15,Smartphone,6.1,128,pink,719.0,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203372.html,new,2024-04-07,2203372.0,7,4.4,2.0
2,samsung,galaxy a55 5g,Smartphone,6.6,256,unknown,479.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237092.html,new,2024-04-07,2237092.0,1,5.0,6.0
2,samsung,galaxy s23+,Smartphone,6.6,256,black,729.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167374.html,new,2024-04-07,2167374.0,155,4.6,6.0
2,nothing,phone (2a),Smartphone,6.7,128,weiss,329.0,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223932.html,new,2024-04-07,2223932.0,0,0.0,
2,samsung,galaxy s23,Smartphone,6.1,128,black,598.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167353.html,new,2024-04-07,2167353.0,271,4.4,6.0
2,nothing,phone (2a),Smartphone,6.7,256,schwarz,379.0,https://www.mediamarkt.ch/de/product/_nothing-phone-2a-2223927.html,new,2024-04-07,2223927.0,1,5.0,
