page,brand,model,category,size,space,color,price,source,condition,date,article_number,n_of_reviews,rating,delivery_time
1,APPLE,iPhone 15 ,Smartphone,6.1,128 GB,Black,719.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203371.html,new,2024-04-06,2203371,(25),4.8,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 15 Pro Max ,Smartphone,6.7,256 GB,Natural Titanium,1159.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203429.html,new,2024-04-06,2203429,(32),4.6,"Bestellbar, Auslieferung in 1-2 Werktagen"
1,APPLE,iPhone 14 ,Smartphone,6.1,128 GB,Midnight,619.,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151025.html,new,2024-04-06,2151025,(12),4.8,"Bestellbar, Auslieferung in 1-2 Werktagen"
1,APPLE,iPhone 15 Pro ,Smartphone,6.1,256 GB,Black Titanium,1051.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203408.html,new,2024-04-06,2203408,(14),4.9,"Bestellbar, Auslieferung in 1-2 Werktagen"
1,APPLE,iPhone 15 Pro Max ,Smartphone,6.7,256 GB,Black Titanium,1129.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203426.html,new,2024-04-06,2203426,(13),4.9,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 15 ,Smartphone,6.1,128 GB,Blue,730.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203374.html,new,2024-04-06,2203374,(8),5.0,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 11 (2020) ,Smartphone,6.1,64 GB,Black,349.,https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028715.html,new,2024-04-06,2028715,(67),4.7,Auslieferung in 1-4 Werktagen
1,APPLE,iPhone 15 ,Smartphone,6.1,256 GB,Black,816.,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203376.html,new,2024-04-06,2203376,(4),5.0,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 14 ,Smartphone,6.1,128 GB,Purple,619.,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151027.html,new,2024-04-06,2151027,(12),4.8,Auslieferung in 1-2 Werktagen
1,APPLE,iPhone 13 ,Smartphone,6.1,128 GB,Starlight,529.,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091429.html,new,2024-04-06,2091429,(34),4.7,Auslieferung in bis zu 6 Werktagen
